id,winner
E14000530,con
E14000531,con
E14000532,con
E14000533,con
E14000534,con
E14000535,lab
E14000536,con
E14000537,lab
E14000538,con
E14000539,con
E14000540,lab
E14000541,lab
E14000542,lab
E14000543,lab
E14000544,con
E14000545,con
E14000546,lab
E14000547,ld
E14000548,lab
E14000549,lab
E14000550,con
E14000551,con
E14000552,lab
E14000553,lab
E14000554,con
E14000555,lab
E14000556,con
E14000557,con
E14000558,con
E14000559,lab
E14000560,lab
E14000561,lab
E14000562,lab
E14000563,lab
E14000564,lab
E14000565,lab
E14000566,lab
E14000567,lab
E14000568,lab
E14000569,lab
E14000570,lab
E14000571,lab
E14000572,con
E14000573,lab
E14000574,lab
E14000575,lab
E14000576,con
E14000577,lab
E14000578,lab
E14000579,lab
E14000580,con
E14000581,lab
E14000582,con
E14000583,con
E14000584,con
E14000585,con
E14000586,con
E14000587,lab
E14000588,lab
E14000589,lab
E14000590,con
E14000591,lab
E14000592,lab
E14000593,lab
E14000594,con
E14000595,con
E14000596,con
E14000597,lab
E14000598,grn
E14000599,lab
E14000600,lab
E14000601,lab
E14000602,lab
E14000603,con
E14000604,con
E14000605,con
E14000606,con
E14000607,con
E14000608,spk
E14000609,lab
E14000610,con
E14000611,lab
E14000612,lab
E14000613,con
E14000614,con
E14000615,lab
E14000616,con
E14000617,lab
E14000618,con
E14000619,lab
E14000620,con
E14000621,ld
E14000622,con
E14000623,con
E14000624,con
E14000625,con
E14000626,con
E14000627,con
E14000628,con
E14000629,con
E14000630,con
E14000631,con
E14000632,lab
E14000633,con
E14000634,con
E14000635,con
E14000636,con
E14000637,lab
E14000638,con
E14000639,con
E14000640,lab
E14000641,lab
E14000642,con
E14000643,con
E14000644,con
E14000645,lab
E14000646,con
E14000647,con
E14000648,con
E14000649,lab
E14000650,lab
E14000651,lab
E14000652,con
E14000653,lab
E14000654,lab
E14000655,lab
E14000656,con
E14000657,lab
E14000658,lab
E14000659,con
E14000660,con
E14000661,lab
E14000662,lab
E14000663,lab
E14000664,con
E14000665,con
E14000666,lab
E14000667,lab
E14000668,lab
E14000669,lab
E14000670,con
E14000671,lab
E14000672,con
E14000673,lab
E14000674,lab
E14000675,lab
E14000676,lab
E14000677,lab
E14000678,con
E14000679,lab
E14000680,con
E14000681,con
E14000682,con
E14000683,con
E14000684,ld
E14000685,con
E14000686,con
E14000687,lab
E14000688,lab
E14000689,con
E14000690,lab
E14000691,lab
E14000692,lab
E14000693,con
E14000694,con
E14000695,con
E14000696,lab
E14000697,con
E14000698,lab
E14000699,con
E14000700,con
E14000701,lab
E14000702,con
E14000703,con
E14000704,con
E14000705,con
E14000706,con
E14000707,con
E14000708,lab
E14000709,lab
E14000710,lab
E14000711,con
E14000712,con
E14000713,con
E14000714,con
E14000715,con
E14000716,lab
E14000717,con
E14000718,lab
E14000719,con
E14000720,lab
E14000721,lab
E14000722,con
E14000723,lab
E14000724,con
E14000725,lab
E14000726,lab
E14000727,lab
E14000728,con
E14000729,con
E14000730,con
E14000731,con
E14000732,lab
E14000733,lab
E14000734,con
E14000735,con
E14000736,con
E14000737,lab
E14000738,con
E14000739,con
E14000740,lab
E14000741,con
E14000742,con
E14000743,con
E14000744,con
E14000745,con
E14000746,con
E14000747,lab
E14000748,lab
E14000749,con
E14000750,lab
E14000751,con
